Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Average,D-N,SUMMER,AUTUMN,WINTER,SPRING,5Year_Avg
1973.0,0.29,0.32,0.29,0.27,0.23,0.19,0.13,0.05,0.09,0.1,0.04,-0.07,0.16,0.18,0.26,0.26,0.12,0.08,0.033999999999999996
1974.0,-0.1,-0.27,-0.05,-0.11,-0.04,-0.05,-0.03,0.1,-0.08,-0.06,-0.08,-0.08,-0.07,-0.07,-0.14,-0.07,0.01,-0.07,0.01
1975.0,0.1,0.08,0.12,0.04,0.16,-0.01,-0.01,-0.17,-0.02,-0.11,-0.17,-0.17,-0.01,-0.01,0.03,0.11,-0.06,-0.1,0.002000000000000001
1976.0,-0.03,-0.06,-0.21,-0.07,-0.2,-0.12,-0.1,-0.12,-0.07,-0.24,-0.06,0.11,-0.1,-0.12,-0.09,-0.16,-0.11,-0.12,-0.001999999999999999
1977.0,0.19,0.23,0.24,0.26,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03,0.18,0.18,0.17,0.28,0.22,0.07,0.032
1978.0,0.06,0.1,0.19,0.17,0.09,-0.02,0.04,-0.14,0.06,0.03,0.13,0.07,0.07,0.06,0.06,0.15,-0.04,0.07,0.014000000000000002
1979.0,0.08,-0.1,0.19,0.15,0.03,0.14,0.04,0.16,0.25,0.26,0.28,0.47,0.16,0.13,0.02,0.12,0.11,0.26,0.06000000000000001
1980.0,0.29,0.39,0.29,0.3,0.35,0.2,0.22,0.18,0.2,0.13,0.29,0.22,0.26,0.28,0.39,0.31,0.2,0.21,0.11400000000000002
1981.0,0.53,0.42,0.48,0.32,0.24,0.29,0.32,0.35,0.15,0.12,0.23,0.41,0.32,0.31,0.39,0.35,0.32,0.16,0.198
1982.0,0.05,0.15,0.03,0.15,0.18,0.05,0.14,0.03,0.14,0.13,0.18,0.43,0.14,0.14,0.2,0.12,0.08,0.15,0.19000000000000003
1983.0,0.53,0.43,0.41,0.27,0.34,0.23,0.18,0.36,0.37,0.17,0.3,0.16,0.31,0.34,0.46,0.34,0.26,0.28,0.238
1984.0,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.19,0.21,0.13,0.06,-0.04,0.16,0.17,0.2,0.22,0.14,0.14,0.23800000000000004
1985.0,0.22,-0.04,0.17,0.12,0.14,0.15,0.04,0.17,0.13,0.12,0.05,0.14,0.12,0.1,0.05,0.15,0.12,0.1,0.21000000000000002
1986.0,0.26,0.37,0.3,0.22,0.21,0.12,0.11,0.16,0.03,0.15,0.1,0.13,0.18,0.18,0.26,0.24,0.13,0.09,0.182
1987.0,0.32,0.43,0.18,0.24,0.25,0.35,0.4,0.25,0.35,0.33,0.29,0.46,0.32,0.29,0.29,0.23,0.33,0.32,0.21800000000000003
1988.0,0.56,0.44,0.51,0.42,0.44,0.4,0.33,0.39,0.37,0.38,0.12,0.29,0.39,0.4,0.49,0.46,0.37,0.29,0.23399999999999999
1989.0,0.12,0.3,0.36,0.29,0.17,0.15,0.34,0.33,0.34,0.29,0.2,0.37,0.27,0.27,0.24,0.27,0.27,0.28,0.25600000000000006
1990.0,0.41,0.44,0.8,0.56,0.45,0.37,0.46,0.34,0.23,0.44,0.46,0.4,0.45,0.44,0.41,0.6,0.39,0.38,0.322
1991.0,0.42,0.5,0.35,0.51,0.34,0.53,0.47,0.39,0.44,0.29,0.29,0.31,0.4,0.41,0.44,0.4,0.46,0.34,0.366
1992.0,0.47,0.4,0.48,0.27,0.31,0.25,0.08,0.08,-0.01,0.07,0.03,0.21,0.22,0.23,0.4,0.35,0.14,0.03,0.346
